NEEDS_FIXING,PRONOUNCE,SYLLABARY
*,asgay.,ᎠᏍᎦy.
*,asgaya hla na yà:gowhtí ayv áhni,ᎠᏍᎦᏯ Ꮭ Ꮎ ᏯᎪwᏘ ᎠᏴ ᎠᏂ
,asgaya.,ᎠᏍᎦᏯ.
,asgayana?,ᎠᏍᎦᏯᎾ?
,asgayv.,ᎠᏍᎦᏴ.
,astayostohdi.,ᎠᏍᏔᏲᏍᏙᏗ.
,asǔ:yana dè:skv̀.,ᎠᏑᏯᎾ ᏕᏍᎬ.
,asǔ:yana jadu:lí.,ᎠᏑᏯᎾ ᏣᏚᎵ.
,asǔ:yana à:gwadu:lí.,ᎠᏑᏯᎾ ᎠᏆᏚᎵ.
,asǔ:yana à:wadu:lí.,ᎠᏑᏯᎾ ᎠᏩᏚᎵ.
,asǔ:yana.,ᎠᏑᏯᎾ.
,asǔ:yanaʔi dè:skv̀:si.,ᎠᏑᏯᎾᎢ ᏕᏍᎬᏏ.
,asǔ:yanaʔi jadu:líha.,ᎠᏑᏯᎾᎢ ᏣᏚᎵᎭ.
,asǔ:yanaʔi jadu:líʔa.,ᎠᏑᏯᎾᎢ ᏣᏚᎵᎠ.
,asǔ:yanaʔi à:gwadu:líʔa.,ᎠᏑᏯᎾᎢ ᎠᏆᏚᎵᎠ.
,asǔ:yanaʔi à:wadu:líʔa.,ᎠᏑᏯᎾᎢ ᎠᏩᏚᎵᎠ.
,asǔ:yanaʔi.,ᎠᏑᏯᎾᎢ.
,asú.,ᎠᏑ.
,asú:sdi desgi:nehv̀.,ᎠᏑᏍᏗ ᏕᏍᎩᏁᎲ.
,asú:sdi desgi:nehv̀:si.,ᎠᏑᏍᏗ ᏕᏍᎩᏁᎲᏏ.
,asú:sdi à:gwadu:lí.,ᎠᏑᏍᏗ ᎠᏆᏚᎵ.
,asú:sdi à:gwadu:líʔa.,ᎠᏑᏍᏗ ᎠᏆᏚᎵᎠ.
,asú:sdi à:wadu:lí.,ᎠᏑᏍᏗ ᎠᏩᏚᎵ.
,asú:sdi à:wadu:líʔa.,ᎠᏑᏍᏗ ᎠᏩᏚᎵᎠ.
,asú:sdi.,ᎠᏑᏍᏗ.
,atade:gv̀:gā,ᎠᏔᏕᎬᎦ
,awahaya,ᎠᏩᎭᏯ
,awahya,ᎠᏩᏯ
*,awi̋:n.,ᎠᏫn.
,awi̋:na.,ᎠᏫᎾ.
