ID|PSET|ALT_PRONOUNCE|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|INTRO NOTE|END NOTE|APP_FILE
195||dù:nada:go:hv̌|Ꮪ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏚᎾᏓᎪᎲᎢ|dù:nada:go:hv̌:ɂi|They saw each other a while ago|||duu1na2daa2goo2hvv23-i
196||de:gini|Ꮥ²Ꭹ̣²Ꮒ²-|Ꭽ||ᏕᎩᏂᎭ|de:gini:ha|You and I have things|||dee2gi2nii2ha
197||ginada:go:hv̌|Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᎩᎾᏓᎪᎲᎢ|ginada:go:hv̌:ɂi|You and I saw ourselves a while ago|||gi2na2daa2goo2hvv23-i
198||dò:gini|Ꮩ¹Ꭹ̣²Ꮒ²-|Ꭽ||ᏙᎩᏂᎭ|dò:gini:ha|He and I have things|||doo1gi2nii2ha
199||de:go:lì|Ꮥ²Ꮵ̣²-, Ꮥ²Ꭶ͓-|Ꭳ²Ꮅ¹Ꭶ*||ᏕᎪᎵᎦ|de:go:lì:ga|I understand things|||dee2goo2lii1ga
200||de:sdada:go:hv̌|Ꮥ²ᏍᏓ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏕᏍᏓᏓᎪᎲᎢ|de:sdada:go:hv̌:ɂi|You both saw each other a while ago|||dee2sdaa2daa2goo2hvv23-i
201||ò:ginada:go:hv̌|Ꭳ¹Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᎣᎩᎾᏓᎪᎲᎢ|ò:ginada:go:hv̌:ɂi|He and I saw ourselves a while ago|||oo1gi2na2daa2goo2hvv23-i
202||è:sdo:lì|Ꭱ¹ᏍᏗ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎡᏍᏙᎵᎦ|è:sdo:lì:ga|You both recognize him; You both are being recognized|||ee1sdoo2lii1ga
203||de:ginada:go:hv̌|Ꮥ²Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏕᎩᎾᏓᎪᎲᎢ|de:ginada:go:hv̌:ɂi|You and I saw each other a while ago|||dee2gi2na2daa2goo2hvv23-i
204||ge:sdo:lì|Ꭸ²ᏍᏗ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎨᏍᏙᎵᎦ|ge:sdo:lì:ga|You both recognize them (animate); They recognize you both|||gee2sdoo2lii1ga
205||dò:ginada:go:hv̌|Ꮩ¹Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏙᎩᎾᏓᎪᎲᎢ|dò:ginada:go:hv̌:ɂi|He and I saw each other a while ago|||doo1gi2na2daa2goo2hvv23-i
206|||Ꭿ̣²-|Ꭱ¹Ꮎ||ᎮᎾ|hè:na|Let you go|||hee1na
207||||Ꭴ²Ꮵ||ᎤᏥ|u:ji|His mother|||uu2ji
208|||Ꭴ¹-, Ꭴ¹Ꮹ͓-|Ꮀ³Ꭲ||ᎤᎰᎢ|ù:hó:ɂi|He usually has something|||uu1hoo3-i
