,SYLLABARY,PRONUNCIATION,POS,DEFINITIONS,HFRANCIS LIST VERIFIED,TLW Notes
,ᎦᎩᎸᎥᏍᎦ,ga:kilvʔv:sga,,,"Added ""perching"" from Francis",
,ᎤᎩᎸᏅᎢ,u:kilvʔnv̌ʔi,,,Removed several ʔ,
,ᎠᎩᎸᎥᏍᎪᎢ,akilvʔv:sgóʔi,,,,
,ᎭᎩᎸᎥᎦ,hakilvʔv:ga,,,,
,ᎤᎩᎸᏗ,u:kilv:di,,,,
note,"ᏥᏌᏃ ᎤᏩᏛᎲ ᎠᎩᎾ ᏐᏈᎵ-ᏗᎦᎵᎠᏅᎯᏛ, <u>ᎤᎩᎸᏅᎩ</u>, ᎾᏍᎩᏯ ᎯᎠ ᏥᏂᎬᏅ ᏥᎪᏪᎳ;
and Jesus having found a young ass <u>did sit upon it</u>, according as it is written,
[ᏣᏂ 12:14]",,,,,
,,,,,,
ENTRY,ᎠᎩᏍᎦ,akisga,vt,He is swallowing it.,,
,ᏥᎩᏍᎦ,jikisga,,,,
,ᎤᎩᏒᎢ,u:kisv̌ʔi,,,,
,ᎠᎩᏍᎪᎢ,akisgóʔi,,,,
,ᎯᎩᎯ,hikihi,,,,
,ᎤᎩᎯᏍᏗ,u:kihisdi,,,,
note,"ᏗᏥᎨᏫ ᏗᏣᏓᏘᏂᏙᎯ! ᏙᏒ ᎢᏥᎿᏐᎸᏍᏗᏍᎩ ᎨᎻᎵᏃ <u>ᎢᏥᎩᏍᎩ</u>.
‘Blind guides! who are straining out the gnat, and the camel <u>are swallowing</u>.
[ᎹᏚ 23:24]",,,,,
,,,,,,
ENTRY,ᎠᎩᏍᏙᎠ,agi:sdóʔa,vt,He is chewing it.,x,
,ᏥᎩᏍᏙᎠ,jigisdóʔa,,,,
,ᎤᎩᏍᏙᎥᎢ,u:gi:sdóʔv̌ʔi,,,,
,ᎠᎩᏍᏙᏍᎪᎢ,agi:sdó:sgóʔi,,,,
,ᎯᎩᏍᏙᏣ,higi:sdó:ja,,,,
,ᎤᎩᏍᏙᏍᏗ,u:gi:sdó:sdi,,,,
,,,,,,
ENTRY,ᎠᎩᏏ,agi:si,vt,"He is fetching, getting it (something solid).",,
,ᏥᎩᏏ,jigi:si,,,,
,ᎤᎩᏎᏒᎢ,u:gi:sesv̌ʔi,,,,
,ᎠᎩᏎᎪᎢ,agi:segóʔi,,,,
,ᎯᎩᏑᎦ,higi:súga,,,,
,ᎤᎩᏒᏍᏗ,u:gi:svsdi,,,,
,,,,,,
ENTRY,ᎠᎪᎲᏍᎦ,agohv:sga,vi,It is burning.,x,
,-,,,,Francis INF is ᎤᎪᎲᏗ,
,ᎤᎪᏅᎢ,u:go:hnv̌ʔi,,,,
,ᎠᎪᎲᏍᎪᎢ,agohv:sgóʔi,,,,
,ᏩᎪᎲᎦ,wagohv:ga,,,,
,ᎤᎪᎲᏍᏗ,u:gohv:sdi,,,,
