,SYLLABARY,PRONUNCIATION,POS,DEFINITIONS,HFRANCIS LIST VERIFIED,TLW Notes
,ᎠᎩᏍᏙᏍᎪᎢ,ạgisdo³sgo³ʔi,,,,
,ᎯᎩᏍᏙᏣ,hịgisdo³tsa,,,,
,ᎤᎩᏍᏙᏍᏗ,ugisdo³sdi,,,,
,,,,,,
ENTRY,ᎠᎩᏏ,ạgisi,vt,"He is fetching, getting it (something solid).",,
,ᏥᎩᏏ,tsịgisi,,,,
,ᎤᎩᏎᏒᎢ,ugisẹsv²³ʔi,,,,
,ᎠᎩᏎᎪᎢ,ạgisẹgo³ʔi,,,,
,ᎯᎩᏑᎦ,hịgisụ³ga,,,,
,ᎤᎩᏒᏍᏗ,ugisṿsdi,,,,
,,,,,,
ENTRY,ᎠᎪᎲᏍᎦ,ạgọhvsga,vi,It is burning.,x,
,-,,,,Francis INF is ᎤᎪᎲᏗ,
,ᎤᎪᏅᎢ,ugohnv²³ʔi,,,,
,ᎠᎪᎲᏍᎪᎢ,ạgọhvsgo³ʔi,,,,
,ᏩᎪᎲᎦ,wạgọhvga,,,,
,ᎤᎪᎲᏍᏗ,ugọhvsdi,,,,
note,"ᎠᎴ ᎤᏁᎷᏅᎩ ᎢᏳᏃ ᎤᏂᎪᎲ ᏚᎦᏒᏍᏛ ᎾᏍᎩ <u>ᎠᎪᎲᏍᎬᎢ</u> …
and were crying, seeing the smoke of <u>her burning</u> …
[ᎠᏥᎾᏄᎪᏫᏎᎸᎢ 18:18]",,,,,
,,,,,,
ENTRY,ᎠᎪᎲᏍᎦ,ạgohvh³sga,vi,It is burning up.,x,
,-,,,,,
,ᎤᎪᏅᎢ,ugọhnv²³ʔi,,,,
,ᎠᎪᎲᏍᎪᎢ,ạgohvh³sgo³ʔi,,,,
,ᏩᎪᎿ,wạgọhna,,,,
,ᎤᎪᎲᏍᏗ,ugohvh³sdi,,,,
note,"… ᎠᎴ ᏂᎦᏛ ᎢᏤ ᎧᏁᏍᎦ <u>ᎤᎪᏅᎩ</u>.
… and all the green grass <u>was burnt up</u>.
[ᎠᏥᎾᏄᎪᏫᏎᎸᎢ 8:7]",,,,,
